household_key,recommendations
1,"YOGURT, FROZEN PIZZA, DINNER SAUSAGE, ISOTONIC DRINKS, CHICKEN"
2,"MEAT - SHELF STABLE, BEANS - CANNED GLASS & MW, DRY SAUCES/GRAVY, IMPORTED WINE, CAT FOOD"
3,"FRZN NOVELTIES/WTR ICE, EGGS, PWDR/CRYSTL DRNK MX, DOG FOODS, BEANS - CANNED GLASS & MW"
4,"SOUP, YOGURT, HAIR CARE PRODUCTS, HOUSEHOLD CLEANG NEEDS, PASTA SAUCE"
5,"SOFT DRINKS, BAKED SWEET GOODS, CONVENIENT BRKFST/WHLSM SNACKS, COLD CEREAL, YOGURT"
6,"HISPANIC, BAKING NEEDS, DRY NOODLES/PASTA, DINNER MXS:DRY, CONVENIENT BRKFST/WHLSM SNACKS"
7,"COUPON/MISC ITEMS, FRZN VEGETABLE/VEG DSH, REFRIGERATED, FRZN POTATOES, BACON"
8,"VEGETABLES SALAD, CIGARETTES, CAT FOOD, DRIED FRUIT, MELONS"
9,"FROZEN PIZZA, DELI MEATS, ICE CREAM/MILK/SHERBTS, COUPON/MISC ITEMS, EGGS"
10,"FROZEN PIZZA, CHEESE, YOGURT, SOUP, VEGETABLES - SHELF STABLE"
11,"SOFT DRINKS, CHEESE, YOGURT, SOUP, FRZN MEAT/MEAT DINNERS"
12,"SOFT DRINKS, YOGURT, VEGETABLES - SHELF STABLE, BEEF, FROZEN PIZZA"
13,"BEEF, HISPANIC, VEGETABLES - ALL OTHERS, PEPPERS-ALL, WATER - CARBONATED/FLVRD DRINK"
14,"TROPICAL FRUIT, ISOTONIC DRINKS, SALAD BAR, MILK BY-PRODUCTS, PICKLE/RELISH/PKLD VEG"
15,"COOKIES/CONES, ICE CREAM/MILK/SHERBTS, BEEF, VEGETABLES - SHELF STABLE, SALAD MIX"
16,"MEAT - SHELF STABLE, FRZN VEGETABLE/VEG DSH, REFRGRATD DOUGH PRODUCTS, BREAKFAST SAUSAGE/SANDWICHES, BACON"
17,"BAKED SWEET GOODS, COLD CEREAL, BABY FOODS, DINNER MXS:DRY, CONVENIENT BRKFST/WHLSM SNACKS"
18,"FRZN MEAT/MEAT DINNERS, BAKED SWEET GOODS, HEAT/SERVE, MEAT - SHELF STABLE, SALAD BAR"
19,"DIAPERS & DISPOSABLES, SERVICE BEVERAGE, BABY FOODS, ROLLS, FRZN ICE"
20,"ICE CREAM/MILK/SHERBTS, ONIONS, DELI MEATS, POTATOES, VEGETABLES - ALL OTHERS"
21,"CRACKERS/MISC BKD FD, HISPANIC, TROPICAL FRUIT, SALAD MIX, VEGETABLES - ALL OTHERS"
22,"FROZEN PIZZA, CHICKEN, DOMESTIC WINE, COCOA MIXES, PAPER TOWELS"
23,"PWDR/CRYSTL DRNK MX, CONVENIENT BRKFST/WHLSM SNACKS, DOG FOODS, FROZEN BREAD/DOUGH, CAT FOOD"
24,"REFRGRATD DOUGH PRODUCTS, REFRGRATD JUICES/DRNKS, CONVENIENT BRKFST/WHLSM SNACKS, YOGURT, PASTA SAUCE"
25,"DRY BN/VEG/POTATO/RICE, FROZEN MEAT, HOT DOGS, TOMATOES, HISPANIC"
26,"PWDR/CRYSTL DRNK MX, VEGETABLES - ALL OTHERS, SHORTENING/OIL, WAREHOUSE SNACKS, DINNER SAUSAGE"
27,"FLUID MILK PRODUCTS, BAKED BREAD/BUNS/ROLLS, LIQUOR, YOGURT, VEGETABLES - ALL OTHERS"
28,"LUNCHMEAT, ISOTONIC DRINKS, CHICKEN/POULTRY, COFFEE, YOGURT"
29,"TROPICAL FRUIT, PASTA SAUCE, SHORTENING/OIL, CHICKEN, MEAT - MISC"
30,"FRZN MEAT/MEAT DINNERS, FROZEN PIZZA, CANDY - PACKAGED, SALD DRSNG/SNDWCH SPRD, CANDY - CHECKLANE"
31,"YOGURT, LUNCHMEAT, PNT BTR/JELLY/JAMS, BABY FOODS, BREAKFAST SWEETS"
32,"DELI MEATS, CHICKEN, VEGETABLES SALAD, BACON, DOG FOODS"
33,"PWDR/CRYSTL DRNK MX, CONVENIENT BRKFST/WHLSM SNACKS, FRZN NOVELTIES/WTR ICE, BAKED SWEET GOODS, DRY NOODLES/PASTA"
34,"YOGURT, LUNCHMEAT, MEAT - SHELF STABLE, CANDY - PACKAGED, CAT FOOD"
35,"BAKING MIXES, DRY BN/VEG/POTATO/RICE, CIGARETTES, FRZN POTATOES, FRUIT - SHELF STABLE"
36,"VEGETABLES - SHELF STABLE, HISPANIC, FRZN NOVELTIES/WTR ICE, MAGAZINE, HAIR CARE PRODUCTS"
37,"ICE CREAM/MILK/SHERBTS, BEERS/ALES, COFFEE, LUNCHMEAT, COLD CEREAL"
38,"FLUID MILK PRODUCTS, BAG SNACKS, CHEESE, BEEF, LUNCHMEAT"
39,"CIGARETTES, ISOTONIC DRINKS, CAT FOOD,  , ORAL HYGIENE PRODUCTS"
40,"DELI MEATS, CAT FOOD, BABY FOODS, POPCORN, SALADS/DIPS"
41,"PASTA SAUCE, FRZN BREAKFAST FOODS, BAKED SWEET GOODS, PAPER HOUSEWARES, COOKIES/CONES"
42,"VEGETABLES - ALL OTHERS, ICE CREAM/MILK/SHERBTS, REFRGRATD JUICES/DRNKS, COOKIES/CONES, YOGURT"
43,"MEAT - SHELF STABLE, LUNCHMEAT, TROPICAL FRUIT, BAKED SWEET GOODS, DELI MEATS"
44,"DINNER SAUSAGE, BREAKFAST SAUSAGE/SANDWICHES, PORK, BAKING MIXES, FRZN VEGETABLE/VEG DSH"
45,"FROZEN PIZZA, CANNED JUICES, DRY BN/VEG/POTATO/RICE, CANDY - PACKAGED, COUPON/MISC ITEMS"
46,"TOMATOES, BABY FOODS, DRY SAUCES/GRAVY, CIGARETTES, BABY HBC"
47,"DINNER MXS:DRY, MEAT - SHELF STABLE, DINNER SAUSAGE, PWDR/CRYSTL DRNK MX, TROPICAL FRUIT"
48,"BAG SNACKS, REFRGRATD JUICES/DRNKS, BAKED SWEET GOODS, LUNCHMEAT, MEAT - SHELF STABLE"
49,"BABY FOODS, DRY SAUCES/GRAVY, PEPPERS-ALL, BREAKFAST SWEETS, CIGARETTES"
50,"BEEF, VEGETABLES - SHELF STABLE, CONDIMENTS/SAUCES, YOGURT, HISPANIC"
51,"VEGETABLES - SHELF STABLE, CANDY - PACKAGED, BAKED SWEET GOODS, CANNED JUICES, VEGETABLES - ALL OTHERS"
52,"FRZN JCE CONC/DRNKS, FRZN BREAKFAST FOODS, BREAD, DOG FOODS, BROCCOLI/CAULIFLOWER"
53,"LUNCHMEAT, COFFEE, BREAKFAST SAUSAGE/SANDWICHES, COOKIES/CONES, BREAKFAST SWEETS"
54,"CANDY - CHECKLANE, CHEESE, BAKED SWEET GOODS, FROZEN PIZZA, COLD CEREAL"
55,"COLD CEREAL, BAKING MIXES, FROZEN PIZZA, MILK BY-PRODUCTS, DELI MEATS"
56,"IMPORTED WINE, PWDR/CRYSTL DRNK MX, ISOTONIC DRINKS, CIGARETTES, MAKEUP AND TREATMENT"
57,"FRUIT - SHELF STABLE, BABY FOODS, GRAPES, APPLES, DINNER MXS:DRY"
58,"FRUIT - SHELF STABLE, GRAPES, BEANS - CANNED GLASS & MW, MUSHROOMS, HOT DOGS"
59,"APPLES, CONVENIENT BRKFST/WHLSM SNACKS, BERRIES, BAKING NEEDS, BROCCOLI/CAULIFLOWER"
60,"FRZN MEAT/MEAT DINNERS, CAT LITTER, FROZEN PIZZA, BAKED SWEET GOODS, LUNCHMEAT"
61,"CANDY - CHECKLANE, BAG SNACKS, BAKED BREAD/BUNS/ROLLS, CHEESE, BAKED SWEET GOODS"
62,"COOKIES/CONES, DELI MEATS, CANNED JUICES, COUPON/MISC ITEMS, MILK BY-PRODUCTS"
63,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS, BAG SNACKS, BEEF, TROPICAL FRUIT"
64,"YOGURT, HOUSEHOLD CLEANG NEEDS, SALAD BAR, CHEESES, STATIONERY & SCHOOL SUPPLIES"
65,"SOUP, COUPON/MISC ITEMS, HISPANIC, CHICKEN, SALD DRSNG/SNDWCH SPRD"
66,"FRZN MEAT/MEAT DINNERS, COUPON/MISC ITEMS, BEERS/ALES, HISPANIC, WATER - CARBONATED/FLVRD DRINK"
67,"BUTTER, MUSHROOMS, HERBS, BABY HBC, HOT CEREAL"
68,"SALAD BAR, FEMININE HYGIENE, BOOKSTORE, SANDWICHES, CANNED MILK"
69,"SMOKED MEATS, ORAL HYGIENE PRODUCTS, BABY FOODS, CAT FOOD, BUTTER"
70,"SOFT DRINKS, BAG SNACKS, NO COMMODITY DESCRIPTION, CHEESE, BAKED BREAD/BUNS/ROLLS"
71,"COLD CEREAL, CAT FOOD, CHEESES, BATH TISSUES, PAPER HOUSEWARES"
72,"ISOTONIC DRINKS, ROLLS, BABY FOODS, MUSHROOMS, DOG FOODS"
73,"BEEF, VEGETABLES - SHELF STABLE, EGGS, CHICKEN, VEGETABLES - ALL OTHERS"
74,"WATER - CARBONATED/FLVRD DRINK, FRZN VEGETABLE/VEG DSH, CANDY - CHECKLANE, HISPANIC, CONVENIENT BRKFST/WHLSM SNACKS"
75,"FROZEN PIZZA, CANDY - CHECKLANE, FRZN MEAT/MEAT DINNERS, TOMATOES, SOUP"
76,"COUPON/MISC ITEMS, CITRUS, SOFT DRINKS, CRACKERS/MISC BKD FD, COLD CEREAL"
77,"WATER - CARBONATED/FLVRD DRINK, PWDR/CRYSTL DRNK MX, PEPPERS-ALL, MELONS, BUTTER"
78,"BAG SNACKS, YOGURT, FRZN VEGETABLE/VEG DSH, FROZEN MEAT, REFRGRATD DOUGH PRODUCTS"
79,"PAPER TOWELS, TOMATOES, CHEESES, APPLES, HOT DOGS"
80,"HAIR CARE PRODUCTS, PAPER TOWELS, HOT CEREAL, FROZEN BREAD/DOUGH, RICE CAKES"
81,"BAKING MIXES, BACON, COFFEE, FROZEN BREAD/DOUGH, ISOTONIC DRINKS"
82,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS, CAT FOOD, ICE CREAM/MILK/SHERBTS, VEGETABLES - SHELF STABLE"
83,"BAG SNACKS, COLD CEREAL, SOUP, DELI MEATS, COOKIES/CONES"
84,"BEEF, YOGURT, DELI MEATS, REFRGRATD JUICES/DRNKS, COFFEE"
85,"HOT DOGS, PNT BTR/JELLY/JAMS, APPLES, FRZN BREAKFAST FOODS, BERRIES"
86,"BAKING MIXES, MEAT - MISC, FRZN POTATOES, CIGARETTES, ISOTONIC DRINKS"
87,"YOGURT, TROPICAL FRUIT, FITNESS&DIET, BEEF, FLUID MILK PRODUCTS"
88,"DOG FOODS, SALAD BAR, CHEESES, FUEL, OLIVES"
89,"SOFT DRINKS, BAKED BREAD/BUNS/ROLLS, FRZN MEAT/MEAT DINNERS, CHEESE, SOUP"
90,"SOFT DRINKS, CONVENIENT BRKFST/WHLSM SNACKS, FROZEN PIZZA, BEEF, REFRGRATD JUICES/DRNKS"
91,"APPLES, DOG FOODS,  , CITRUS, PORK"
92,"TOMATOES, CHEESES, FRZN NOVELTIES/WTR ICE, BREAKFAST SAUSAGE/SANDWICHES, PICKLE/RELISH/PKLD VEG"
93,"MEAT - SHELF STABLE, DRY BN/VEG/POTATO/RICE, FROZEN MEAT, DRY MIX DESSERTS, BEEF"
94,"COLD CEREAL, CANDY - PACKAGED, YOGURT, FRZN VEGETABLE/VEG DSH, FRZN MEAT/MEAT DINNERS"
95,"HAIR CARE PRODUCTS, FRZN BREAKFAST FOODS, DRY MIX DESSERTS, FUEL, PAPER TOWELS"
96,"COLD CEREAL, CONDIMENTS/SAUCES, DRY BN/VEG/POTATO/RICE, VEGETABLES SALAD, MEAT - SHELF STABLE"
97,"CANDY - PACKAGED, FRZN MEAT/MEAT DINNERS, BREAD, BROCCOLI/CAULIFLOWER, ISOTONIC DRINKS"
98,"BREAKFAST SWEETS, WATER, MILK BY-PRODUCTS, ROLLS, DRY MIX DESSERTS"
99,"FUEL, BABY HBC, FEMININE HYGIENE, CARROTS, FITNESS&DIET"
100,"REFRGRATD DOUGH PRODUCTS, TROPICAL FRUIT, CANDY - CHECKLANE, DRY NOODLES/PASTA, FROZEN BREAD/DOUGH"
